SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
13,jf,Male,22,Right,2,112,311,102,296,18.0277563773199,1,27.5893781839441
13,jf,Male,22,Right,1,97,192,92,194,5.38516480713449,1,16.3044600869544
13,jf,Male,22,Right,5,196,81,196,66,15,1,13.3895627754155
13,jf,Male,22,Right,6,306,127,300,104,23.7697286480094,0,19.3872500849466
13,jf,Male,22,Right,3,257,341,241.969849764601,331.47664043757,17.7932513457769,1,21.7817089769214
13,jf,Male,22,Right,4,353,269,356,252,17.2626765016321,1,22.4143767859514
13,jf,Male,22,Right,6,306,127,306,104,23,0,18.6340856864535
13,jf,Male,22,Right,5,196,81,202,64,18.0277563773199,1,12.3364105854507
13,jf,Male,22,Right,1,97,192,92,194,5.38516480713449,1,25.3896664859512
13,jf,Male,22,Right,3,257,341,242,336,15.8113883008419,1,22.6974026859516
13,jf,Male,22,Right,4,353,269,362,258,14.2126704035519,1,32.4399350859512
13,jf,Male,22,Right,2,112,311,108,304,8.06225774829855,1,33.5941376849478
13,jf,Male,22,Right,4,353,269,358,248,21.5870331449229,0,44.6745769844474
13,jf,Male,22,Right,6,306,127,302,106,21.3775583264319,0,18.6912886859518
13,jf,Male,22,Right,3,257,341,244,336,13.9283882771841,1,23.4503568864529
13,jf,Male,22,Right,5,196,81,200,62,19.4164878389476,1,11.3122145859525
13,jf,Male,22,Right,1,97,192,90,190,7.2801098892805,1,25.7904906859512
13,jf,Male,22,Right,2,112,311,104,294,18.7882942280559,1,19.3998755844459
13,jf,Male,22,Right,3,257,341,244,334,14.7648230602334,1,45.7240541849478
13,jf,Male,22,Right,4,353,269,356,254,15.2970585407784,1,23.7669016859509
13,jf,Male,22,Right,6,306,127,308,106,21.095023109729,0,19.5396527859521
13,jf,Male,22,Right,2,112,311,104,306,9.43398113205659,1,20.6380948814349
13,jf,Male,22,Right,5,196,81,194,60,21.095023109729,0,13.9202931864511
13,jf,Male,22,Right,1,97,192,88,196,9.84885780179609,1,21.2501588844461
