SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
35,wzh,Male,23,Right,1,286,119,280,142,6,0,16.6805639076642
35,wzh,Male,23,Right,1,104,290,90,286,2,1,7.70464854420607
35,wzh,Male,23,Right,1,329,251,326,246,4,1,9.99848233507055
35,wzh,Male,23,Right,1,90,179,98,182,1,1,7.83915906247694
35,wzh,Male,23,Right,1,183,75,182,96,5,0,9.1915610533415
35,wzh,Male,23,Right,1,240,318,260,320,3,0,12.2726715533408
35,wzh,Male,23,Right,2,240,318,248,322,3,1,9.24496444420583
35,wzh,Male,23,Right,2,90,179,107.360734862316,185.964367903619,1,0,14.5960947442063
35,wzh,Male,23,Right,2,329,251,328,232,4,0,9.37670377161248
35,wzh,Male,23,Right,2,183,75,184,82,5,1,6.27484035334146
35,wzh,Male,23,Right,2,286,119,284,128,6,1,13.4110208624761
35,wzh,Male,23,Right,2,104,290,100,294,2,1,6.78429355334174
35,wzh,Male,23,Right,3,183,75,190,82,5,1,5.83628775334182
35,wzh,Male,23,Right,3,240,318,242,314,3,1,9.53422735334152
35,wzh,Male,23,Right,3,90,179,96,186,1,1,11.4097165533412
